City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tralee,52.2704,-9.7026,11.99,93,6,1.48,IE,1693633377
1,battle ground,45.7809,-122.5334,21.61,82,17,1.34,US,1693633186
2,blackmans bay,-43.0167,147.3167,14.83,70,51,2.24,AU,1693633377
3,bethel,41.3712,-73.414,15.36,86,0,0.0,US,1693633377
4,roxas,11.5853,122.7511,32.3,64,100,2.39,PH,1693633378
5,cam ranh,11.9214,109.1591,32.98,62,40,4.12,VN,1693633378
6,nemuro,43.3236,145.575,19.67,94,100,6.84,JP,1693633378
7,severo-yeniseyskiy,60.3725,93.0408,16.19,42,14,3.25,RU,1693633378
8,bilibino,68.0546,166.4372,1.14,96,100,2.5,RU,1693633379
9,vadso,70.0744,29.7487,14.49,94,100,2.06,NO,1693633379
10,jamestown,42.097,-79.2353,17.62,91,0,3.09,US,1693633379
11,ekibastuz,51.6667,75.3667,19.82,42,87,6.54,KZ,1693633379
12,waitangi,-43.9535,-176.5597,11.57,90,78,1.79,NZ,1693633380
13,kununurra,-15.7667,128.7333,32.99,19,27,3.6,AU,1693633380
14,port-aux-francais,-49.35,70.2167,0.66,98,100,8.18,TF,1693633380
15,utrik,11.2278,169.8474,28.32,78,99,4.73,MH,1693633380
16,usinsk,65.9939,57.5281,17.39,61,46,1.93,RU,1693633380
17,port lincoln,-34.7333,135.8667,18.59,55,0,3.7,AU,1693633381
18,juneau,58.3019,-134.4197,13.45,98,100,0.0,US,1693633337
19,bubaque,11.2833,-15.8333,25.66,87,100,5.95,GW,1693633381
20,puerto natales,-51.7236,-72.4875,-2.3,93,24,1.84,CL,1693633381
21,hermanus,-34.4187,19.2345,10.55,71,40,4.64,ZA,1693633382
22,trincomalee,8.5711,81.2335,31.7,57,91,7.3,LK,1693633382
23,chos malal,-37.3781,-70.2709,6.08,77,100,1.29,AR,1693633382
24,wailua homesteads,22.0669,-159.378,27.24,80,100,7.72,US,1693633382
25,scappoose,45.7543,-122.8776,21.93,73,0,2.06,US,1693632898
26,gaalkacyo,6.7697,47.4308,28.48,43,35,9.55,SO,1693633383
